ID,Title,Description,Need Driver,Data Type,Segment,Objective,Target Measurement Parameters,Current State of Data,Impact if Data is Unavailable,Benefits if Data is available
DN-001 L,"Sustained, site-specific sub-meter scale imaging of lunar south pole exploration zones and sites","Produce optical maps or a set of optical images of the lunar south pole region that can be used to identify surface features, obstacles, and hazards across all Artemis landing regions. These maps and images should be capable of supporting landing site/ellipse design, element placement, and surface traverse planning. Multiple images of the same site should be captured at varying lighting conditions and be higher resolution than currently available. ",Lunar Exploration Surface Site Characterization,Orbit-to-Surface Imagery,HLR,"LPS-01 LM
SE-05 LM
LI-03 L","Ensure sustained availability of high spatial resolution ( <0.5 m/pixel preferred) optical imaging of lunar south pole exploration regions. Additionally, the system should have sufficiently high temporal resolution to collect imagery under varying lighting conditions  enabling hazard avoidance, precision landing, and traverse planning. Images should be taken in at least 1-week intervals (every 48 hours preferred) over the course of an entire year.","No additional orbital imagery is necessary to land and conduct a nominal Artemis surface mission. Data collected by the Lunar Reconnaissance Orbiter (LRO) Lunar Reconnaissance Orbiter Camera (LROC) Narrow Angle Camera (NAC) over the last 15 years is the primary data set being used to plan missions in the HLR and initial FE segment. The highest resolution panchromatic imagery of Artemis landing  regions from LROC NAC is ~.5 m/pixel. NASA has the ShadowCam instrument on board the Korean Pathfinder Lunar Orbiter (KPLO) which is designed to collect high resolution images of Permanently Shadow Regions (PSRs) poles, as high as 1.7 m/pixel. However, this is only in low light locations and thus would not provide optimal imagery of a lander or surface operations in illuminated lunar regions. Additionally, JAXA Kaguya orbiter has scanned the lunar surface ~8-10m/pixel.  Currently in orbit, is the Indian Space Research Organization's (ISRO) Chandrayaan-2 Orbiter High Resolution Camera (OHRC) which images the lunar surface at ~.3 m/pixel at select areas of the lunar south pole region. ","Additional orbital imagery is not required to land and conduct a nominal surface mission at the lunar south pole. High resolution data collected by LROC NAC over the last 15 years is the primary data set being used to plan missions in the HLR and initial FE segment. However, additional optical imagery is desirable to inform surface element design, such as power systems, energy storage and user operating power especially for winter hibernation.  Lack of continued high-resolution data could lead to Element loss due to power failure in winter, unsafe landings, or mission-ending mobility hazards. Overcompensating for uncertainty adds prohibitive mass, while underestimating risks threatens survival and operational success.","Enables longer planning safer landings, optimized surface operations, and more accurate traverse planning. Improves situational awareness and hazard avoidance, increasing confidence in mission success."
DN-002 L,"Comprehensive, high-fidelity digital elevation map (DEM) coverage of lunar south pole exploration zones and sites","Provide complete, higher resolution ( <1m/pixel, <0.1 vertical error) DEM coverage of lunar south pole regions (84°S-90°S), with sufficient spatial and temporal resolution  to support hazard avoidance, illumination modeling, landing ellipse definition, and traverse planning.",Lunar Exploration Surface Site Characterization,Remote Sensing,HLR,"SE-05 LM
LI-03 L
TH-03 L",The topographic products should be gridded at < 1m/pixel with less than 0.1 m height error.,"Lunar topographic data comes predominantly from LRO’s Lunar Orbiter Laser Altimeter (LOLA).  LOLA DEMs have been generated at multiple resolutions and have been used in the development of  Terrain Referenced Navigation (TRN) algorithms. LOLA-derived DEMs are limited to some extent by the frequency of individual altimeter measurements, which when gridded require interpolation, and contain a level of uncertainty.  For mission planning purposes at select locations, higher resolution LOLA DEMs are supplemented by other topographic products such as Stereo and Shape from Shading models which range from ~1 – 2 m/pixel in spatial resolution.  Such image-based topographic products generally have denser coverage than the LOLA products. However, such products may contain interpolation in shadowed areas when there isn’t a corresponding altimeter observation. As LRO’s orbit altitude continues to increase and its inclination decreases, additional NAC imagery of polar sites will be increasingly difficult. Topographic products from KPLO ShadowCam images are expected to be released publicly in the near-future and will provide independent topographic data in permanently shadowed regions.","Additional elevation map coverage is not required to land and conduct a nominal surface mission at the lunar south pole. High resolution data collected by LRO over the last 15 years is the primary data set being used to plan missions in the HLR and initial FE segment. However, additional elevation map coverage is desirable to inform surface element design, such as power systems, energy storage and user operating power especially for winter hibernation.  Lack of accurate data could lead to Element loss due to power failure in winter, unsafe landings, or mission-ending mobility hazards. Overcompensating for uncertainty adds prohibitive mass, while underestimating risks threatens survival and operational success. While south pole new crater impacts are not a concern, continued altimeter measurements to guarantee no changes that could impact safe landing and traverse planning.  The concern increases as go equatorial.","With the desired DEM resolutions, Artemis missions will gain significant situational awareness, reduce risk by enabling navigation and hazard avoidance with respect to known DEMs, can plan more optimal landing and EVA scenarios, and increase confidence in ability to meet mission objectives. A prior acquisition of high resolution, low height error surface elevation data enables the ability to predict the illumination over challenging winter periods of the year which will put the Element energy storage to its limit. Underestimating the energy storage required duration could result in Element loss. "
DN-003 L,"High-resolution, time-resolved thermal mapping of lunar south pole exploration regions and sites",Capture multispectral thermal imagery to determine surface temperature profiles of lunar south pole areas of interest. Areas should be imaged multiple times to track how surface temperature changes with time and illumination conditions. Resolution should be improved compared to currently available data. High resolution thermal maps are needed over all Artemis regions for design of element thermal control systems and power systems (including power cables). ,Lunar Exploration Surface Site Characterization,Remote Sensing,HLR,"SE-05 LM
AS-01 LM
TH-03 L","Acquire higher resolution (<50m, <30m preferred) thermal imaging of lunar south pole exploration regions to resolve PSR temperatures, diurnal/seasonal cycles, and surface heat fluxes at the scale needed for element thermal design and traverse planning.","Currently available thermal imagery is sourced from the LRO Diviner Lunar Radiometer Experiment. Diviner data has been used to create a variety of temperature maps including maximum temperature anomaly (global), minimum temperature anomaly (global), south polar thermal maps, and north polar thermal maps. Cylindrical maps are provided at resolutions of 128, 64, 16, 4, and 1 pixel/degree (PPD) and polar stereographic maps are provided at a single resolution of 126.347 PPD (map scale of 240 m/pixel). Data is constrained to brightness temperature values between 10 to 450 K (anything outside that range is considered ""bad"" data). LRO has the state of the art of data in terms of thermal maps.  This data is limited due to 240m/pixel and a coarse temporal frequency of 2 hour for some locations to 2 weeks.",Present model surface and temporal resolution could be enhanced to mitigate risks to long term emplacements required to survive yearly thermal cycles.,"A prior acquisition of higher-resolution thermal maps (surface heat fluxes and temperatures) and the ability to predict the required thermal design requirements over the entire year’s summer and winter cycles.  Such information will permit proper thermal and power system design to assure continuity of services. Such data can be used in selection of hibernation sites, lander sites/ellipses and mobility traverses."
DN-004 L,Collection of imagery over lunar surface exploration sites to monitor impacts of human exploration,Capture optical imagery of Artemis missions in progress on the surface of the lunar south pole. This imagery should be capable of monitoring surface elements and mission activities. Image resolution should be sufficient to determine the status of landed elements and observe how human activities alter the natural lunar surface environment.,Lunar Exploration Surface Site Characterization,Orbit-to-Surface Monitoring,HLR,"SE-05 LM
TH-03 L","Capability to quickly capture, produce, and provide optical images of specific locations on the lunar surface with a resolution of <1 m/pixel (<0.5 m/pixel preferred) sufficient to determine the status of surface elements and characterize the disruption to the natural environment caused by landers and surface traverses.","No existing available data as the missions are not in operation yet. However, LRO may be able to capture optical imagery of the Artemis missions with sufficient resolution to monitor large scale surface elements and mission activities at a regular cadence. While NASA has past orbital assets that have collected imagery of the lunar surface (e.g., Clementine, Lunar Orbiters 1-5), the resolution of those images is far less than that of LRO (~30 m/pixel for Clementine and ~60 m/pixel for Lunar Orbiter). Currently, NASA has the ShadowCam instrument on the Korean Pathfinder Lunar Orbiter (KPLO) which can take high resolution images of the poles, as high as 1.7 m/pixel; however, this is only in low light location and thus would not provide optimal imagery of a lander or surface operations in illuminated lunar regions.","Imagery is required to demonstrate a successful landing. Without timely imagery of <1 m/pixel resolution, there may be difficulty locating a lost asset or determining a cause of failure. Potential inability to image the active landing site in a contingency scenario. Lack of timely orbital imagery of Artemis missions may have national posture implications.","Increased understanding and situational awareness of in-mission risk and status of elements for subsequent operations. Increased understanding of anthropogenic impacts/disruptions on lunar environments, allowing for informed considerations on site preservation. Orbital imagery during the mission provides additional situational awareness and enables contingency capability in off-nominal scenarios. Timely and repeated orbital imagery enables contingency analysis, locating lost or non-communicating assets and determination of position and orientation, evidence of soft landing, and the capability to evaluate how exploration activities alter the lunar surface."
DN-005 L,Optical images from the lunar surface at the lunar south pole,"Take a series of panoramic images from the surface of the lunar south pole at potential Artemis landing regions to determine real lighting conditions. Images should be coupled with accurate positional data in order to compare with expected illumination conditions based on orbital data and enable in situ surface feature information for traverse planning, hazard identification and illumination impact predictions.",Lunar Exploration Surface Site Characterization,Surface-to-Surface Imagery,HLR,SE-05 LM,"Take a number of images sufficient to ascertain surface lighting conditions/levels at different locations and times at the lunar south pole. High-resolution images should cover 360 degrees and overlap to enable 3D object information to be obtained.  Need at all relevant locations, possibly many for mobility assets.","Multiple CLPS providers have taken images from the surface. NASA’s Lunar Reconnaissance Orbiter has collected, to date, over 70000 meter-scale images of the South Pole of Earth’s Moon that can be used to validate illumination models at the meter scale for specific illumination conditions.
Any previously modeled panoramic or framing camera which can be slewed on the surface can achieve these objectives at specific sites on the lunar surface. However, panoramic images from the surface have not been acquired at a potential Artemis mission location.","Increased uncertainty in detailed illumination conditions at particular locations at South Pole can lead to inaccurate expectations for solar-based power systems and potentially lead to insufficient power for surface systems. In addition, uncertainties in illumination profile can cause difficulties in traversing and a lack of situational awareness for astronauts on EVA reliant on vision and observable landmarks.",Increased confidence in selection of site to allow for sufficient power generation. Increased confidence in expected illumination profile during surface EVAs. Help in real time traverse planning and hazard avoidance. Allow science experts to identify targets for traverse planning. Additional advantage to incapacitated crew rescue traverse planning and landmark identification.
DN-006 L,Orbital observations of water ice deposits in the south polar region,Measure the horizontal distribution and abundance of water ice at a regional scale at the lunar south pole. Spatial resolution should be sufficient to resolve permanently shadowed craters.,Lunar Resource Exploration,Remote Sensing,FE,"AS-03 LM
LI-07 L
OP-03 LM","Water spatial resolution of <10 km (<5 km preferred) to a depth of 1 m, coverage <15° from poles, sensitivity at least 1 wt%.","There are four existing orbital data sets that indicate the presence of shallow bulk water on the lunar surface: LCROSS, Chandrayaan-1, LRO, and Lunar Prospector. There are more data sets for surface frost detection; however, while surface frost may be a geologic indicator of deeper water, there is currently no strong correlation between the two types of data sets. Water equivalent hydrogen (WEH), inferred from neutron spectroscopy, cannot give accurate concentration or depth distribution data. Neutron flux indicates there is hydrogen somewhere between the surface layer down to about 80 cm to 100 cm. Resolutions from current data sets are insufficient to characterize bulk water ice concentrations for the purpose of resource utilization.",Knowledge of water distribution and abundance will be constrained to limited existing data sets which do not sufficiently identify potential water ice reserve sites for potential utilization. ,Orbital measurements typically have larger coverage area than expected mobility ranges of landed missions and can be used with ground measurements to create a predictive model to locate potential water reserve sites.
DN-007 L,"In situ measurements of the horizontal and vertical distribution, abundance, and physical makeup of shallow bulk water ice","Measure the vertical and horizontal distribution and abundance of shallow bulk water as a function of depth in shadowed regions of the lunar south pole. Identify the physical makeup of the shallow water ice (i.e., granular vs. consolidated sheets). A series of direct, ground-based measurements should be taken at several different locations to support resource exploration on the lunar surface. This data gained over a limited area should be matched with orbital data to identify water-favorable sites at regional scales.",Lunar Resource Exploration,In Situ Measurement,FE,"AS-03 LM
LI-07 L
OP-03 LM","Water ice abundance with vertical resolution <20 cm depth intervals to 1 m depth, at least 50 m horizontal resolution (distance between sample sites), with a 1 wt% water ice abundance detection limit.",There are no ground truth measurements that characterize shallow bulk water ice on the lunar surface.,"Knowledge of water ice distribution and abundance is a critical input for ISRU system design, architecture analysis, and identification of potential water reserve sites. Without data, NASA will be unable to understand the abundance and accessibility of bulk water ice at the south pole. Therefore, Artemis missions will be unable to take advantage of in-situ water during lunar surface missions which increases uncertainty of water collection and extraction methods. ","With direct, ground-based data covering a sufficient area and matched to orbital measurements, a predictive 'water favorability' model can be developed, generating a map of potential water concentrations and distributions at other locations. This is critical to the selection of favorable ISRU surface sites which can inform both ISRU systems and surface exploration activities."
DN-008 L,Geotechnical properties of highland regolith at the lunar south pole,"Characterize lunar regolith physical and mechanical properties as a function of depth (min depth extent: 1 meter), area, and terrain slope/features, to understand South Pole properties and their variability. These measurements should be taken over multiple locations at the lunar south pole at locations representative of landing and exploration sites.",Lunar Surface Natural Environment Characterization,In Situ Measurement/Sample Return,HLR,"AS-01 LM
LI-07 L
LI-08 L
TH-03 L
OP-05 LM","Particle size distribution (<10μm), particle morphology and density, other geotechnical properties including but not limited to porosity, permeability, bulk density, bearing capacity, cohesion. ""Fine fraction""  of particle size distribution (particles < ~50 microns), variation with depth up to ~3 m.","Geotechnical property values in M2M Design Specification for Natural Environments (DSNE) rely on historical archive of Apollo results and estimates from analyses of orbital imagery or modelling. Variance in these values spatially, with terrain type, and with depth is not well constrained.","Limitations in in-situ regolith sampling and characterization increase uncertainty to, analyses for interactions between footpads and regolith, rocket engine blast effects (erosion and ejection of material), etc. Limited datasets of lunar samples result in uncertainty about the stability and behavior of the lunar surface. This is particularly true for the South Pole, as no samples from this region have been returned and properties may differ from previous equatorial mission sites (i.e., particle size, porosity). Insufficient characterization of regolith geotechnical properties can potentially lead to instability of spacecraft on the lunar surface and lack of soil integrity.","Increased confidence/decreased uncertainty in landing, plume-surface interaction, and trafficability analyses, which may increase flexibility/allow more areas and terrain to be considered for mission operations. For example, better constraints on slope stability could arise from regolith strength measurements. Data can be used to predict structural behavior of lunar vehicles and structures as the architecture evolves. The geotechnical stability of landing vehicles can be better estimated/calculated, which will inform assessments regarding the structural integrity and capacity of lunar regolith when vehicles have landed on the lunar surface."
DN-009 L,Electrostatic properties of highland regolith at the lunar south pole,"Measure the state of the electrostatic charging level of granular materials. Electrostatic properties refer to the charge state of regolith at a given instance in time which is heavily dependent on the induced environment as well as the natural environment. Note that some electrostatic properties are intrinsic to the materials while others are not. Any disturbance of the regolith greatly affects the charge state. There are several types of electrostatics properties of interest including chargeability, volume and surface resistivity, and charge decay.",Lunar Surface Natural Environment Characterization,In Situ Measurement,HLR,"AS-01 LM
LI-07 L
LI-08 L
TH-03 L
OP-05 LM","Measure several electrostatic properties of regolith such as chargeability, volume and surface resistivity, charge decay.",Regolith electrical property values in M2M Design Specification for Natural Environments (DSNE) rely on limited Apollo data and estimates from analyses of orbital imagery or modelling. Variance in these values spatially and with terrain type is not well constrained.,Limitations in understanding of electrostatic properties can negatively impact effective design and employment of dust mitigation strategies and capabilities. Electrostatics is one of the primary mechanisms in which lunar dust adheres to surfaces. Without a detailed understanding of such properties and how external systems and factors may induce charge; dust can become a significant risk to surface elements and crew.,Increased confidence in development and performance of dust mitigation capabilities and better understanding of expected impacts on surface operations. Can help better plan mission operations that avoid accumulation of dust. Provide better understanding of potential near-surface natural dust transport/lofting.
DN-010 L,South polar lunar regolith elemental and mineral composition,"Characterize site-specific and depth-resolved mineralogical and elemental composition of lunar south pole regolith and rocks to support ISRU, geotechnical assessment and contamination mitigation. A series of in situ measurements across the exploration area should be taken to support lunar environment characterization and resource exploration. ",Lunar Surface Natural Environment Characterization,In Situ Measurement/Sample Return,HLR,"LPS-01 LM
LI-07 L
LI-08 L","Elemental and mineral composition of bulk rocks and mineral grains where possible, as well as relative abundances of regolith constituent components (to resolution of 0.1 wt%) over various locations and with depth. ","Apollo-era returned samples and lunar meteorites are the primary in-situ data set (predominantly mare terrain and equatorial), with orbital spectral data (e.g., Clementine, LRO, Lunar Prospector, Kaguya, Chandrayaan-1) at a km-scale resolution.","Limited in situ mineralogical composition data exists for the lunar south pole. While mineralogy is not expected to greatly vary from orbital observations and in situ Apollo samples, variation may exist that could increase uncertainty in the landing site environment. Aspects tied to mineral hardness/density could impact terrain stability, composition could impact contamination/science integrity, and metal content may impact electrostatic interactions. Further, without mineralogical surveying, effective ISRU for critical minerals/metals would be limited. Inability to accurately anticipate or predict chemical reactions between elements or compounds in the lunar regolith and surfaces or environments.",A better understanding of the typical lunar surface composition at the south pole would enable tighter constraints on regolith properties and critical mineral abundances. Having a standardized dataset of regolith composition could also help minimize the effect of contamination on science sites. Will inform material selection to prevent or mitigate chemical reactivity effects between regolith and surface assets.
